Node,Demand,Pattern,Category
128,0.004566,Domestic,
128,0.004598,Domestic,
128,0.004756,Domestic,
128,0.004883,Domestic,
128,0.004978,Domestic,
128,0.005074,Domestic,
128,0.005074,Domestic,
128,0.005296,Domestic,
128,0.006247,Domestic,
128,0.006849,Domestic,
128,0.00723,Domestic,
128,0.008118,Domestic,
128,0.008149,Domestic,
128,0.008657,Domestic,
128,0.008974,Domestic,
129,6.30E-05,Domestic,
129,6.30E-05,Domestic,
129,0.000127,Domestic,
129,0.000127,Domestic,
129,0.00019,Domestic,
129,0.000317,Domestic,
129,0.00111,Domestic,
129,0.001522,Domestic,
129,0.001585,Domestic,
129,0.002156,Domestic,
129,0.00222,Domestic,
129,0.002283,Domestic,
129,0.0026,Domestic,
129,0.002664,Domestic,
129,0.002759,Domestic,
129,0.002949,Domestic,
129,0.003044,Domestic,
129,0.003425,Domestic,
129,0.00352,Domestic,
129,0.003615,Domestic,
129,0.004535,Domestic,
129,0.005803,Domestic,
129,0.007579,Domestic,
13,0.001364,Domestic,
13,0.00222,Domestic,
13,0.00222,Domestic,
13,0.002505,Domestic,
13,0.002664,Domestic,
13,0.00352,Domestic,
13,0.004408,Domestic,
13,0.007801,Domestic,
130,0.000349,Domestic,
130,0.001744,Domestic,
130,0.0026,Domestic,
130,0.002695,Domestic,
130,0.003203,Domestic,
130,0.003964,Domestic,
130,0.006786,Domestic,
131-alt,0.003869,Domestic,
131-alt,0.004344,Domestic,
133,3.20E-05,Domestic,
133,0.00019,Domestic,
133,0.000317,Domestic,
133,0.001712,Domestic,
133,0.002061,Domestic,
133,0.002125,Domestic,
133,0.00222,Domestic,
133,0.002917,Domestic,
133,0.003551,Domestic,
133,0.003551,Domestic,
133,0.003647,Domestic,
133,0.003869,Domestic,
133,0.003932,Domestic,
133,0.005454,Domestic,
133,0.00631,Domestic,
134,0.001046,Domestic,
134,0.001205,Domestic,
134,0.001744,Domestic,
134,0.002188,Domestic,
134,0.002283,Domestic,
134,0.003203,Domestic,
134,0.004947,Domestic,
135,3.20E-05,Domestic,
135,9.50E-05,Domestic,
135,0.000127,Domestic,
135,0.000381,Domestic,
135,0.000571,Domestic,
135,0.000761,Domestic,
135,0.000951,Domestic,
135,0.001015,Domestic,
135,0.00111,Domestic,
135,0.001142,Domestic,
135,0.001649,Domestic,
135,0.001681,Domestic,
135,0.001903,Domestic,
135,0.002029,Domestic,
135,0.002125,Domestic,
135,0.002315,Domestic,
135,0.002315,Domestic,
135,0.002537,Domestic,
135,0.002537,Domestic,
135,0.002568,Domestic,
135,0.0026,Domestic,
135,0.0026,Domestic,
135,0.002917,Domestic,
135,0.002917,Domestic,
135,0.002949,Domestic,
135,0.003108,Domestic,
135,0.003171,Domestic,
135,0.003488,Domestic,
135,0.003647,Domestic,
135,0.003742,Domestic,
135,0.003773,Domestic,
135,0.003805,Domestic,
135,0.003805,Domestic,
135,0.004122,Domestic,
135,0.004154,Domestic,
135,0.004186,Domestic,
135,0.004313,Domestic,
135,0.004344,Domestic,
135,0.004661,Domestic,
135,0.004661,Domestic,
135,0.00482,Domestic,
135,0.005549,Domestic,
135,0.005708,Domestic,
135,0.010084,Domestic,
135,0.013255,Domestic,
136,3.20E-05,Domestic,
136,3.20E-05,Domestic,
136,0.000127,Domestic,
136,0.000127,Domestic,
136,0.000254,Domestic,
136,0.000317,Domestic,
136,0.000571,Domestic,
136,0.000602,Domestic,
136,0.000698,Domestic,
136,0.001903,Domestic,
136,0.002156,Domestic,
136,0.002156,Domestic,
136,0.002315,Domestic,
136,0.002473,Domestic,
136,0.002537,Domestic,
136,0.002632,Domestic,
136,0.00279,Domestic,
136,0.002854,Domestic,
136,0.002949,Domestic,
136,0.003171,Domestic,
136,0.003298,Domestic,
136,0.003361,Domestic,
136,0.003551,Domestic,
136,0.003678,Domestic,
136,0.00371,Domestic,
136,0.003773,Domestic,
136,0.004471,Domestic,
136,0.004693,Domestic,
136,0.004788,Domestic,
136,0.004915,Domestic,
136,0.005644,Domestic,
136,0.005708,Domestic,
136,0.005866,Domestic,
136,0.005898,Domestic,
136,0.006913,Domestic,
136,0.007103,Domestic,
136,0.00761,Domestic,
136,0.008245,Domestic,
136,0.008498,Domestic,
136,0.008815,Domestic,
136,0.010052,Domestic,
137,0.00111,Domestic,
137,0.001205,Domestic,
137,0.002251,Domestic,
137,0.002315,Domestic,
137,0.002759,Domestic,
137,0.003044,Domestic,
137,0.003171,Domestic,
137,0.003615,Domestic,
137,0.003869,Domestic,
137,0.0039,Domestic,
137,0.005993,Domestic,
137,0.006215,Domestic,
137,0.006374,Domestic,
138,0.000507,Domestic,
138,0.000634,Domestic,
138,0.001205,Domestic,
138,0.001395,Domestic,
138,0.001966,Domestic,
138,0.002347,Domestic,
138,0.002632,Domestic,
138,0.00279,Domestic,
138,0.002822,Domestic,
138,0.003298,Domestic,
138,0.004027,Domestic,
138,0.006564,Domestic,
138,0.006627,Domestic,
14,0.000285,Domestic,
14,0.0013,Domestic,
14,0.002981,Domestic,
140,6.30E-05,Domestic,
140,9.50E-05,Domestic,
140,0.000127,Domestic,
140,0.00019,Domestic,
140,0.000412,Domestic,
140,0.000571,Domestic,
140,0.000602,Domestic,
140,0.000634,Domestic,
140,0.000666,Domestic,
140,0.000729,Domestic,
140,0.000761,Domestic,
140,0.001142,Domestic,
140,0.001237,Domestic,
140,0.001332,Domestic,
140,0.001395,Domestic,
140,0.001681,Domestic,
140,0.001712,Domestic,
140,0.001807,Domestic,
140,0.001998,Domestic,
140,0.002029,Domestic,
140,0.002093,Domestic,
140,0.002125,Domestic,
140,0.00222,Domestic,
140,0.002378,Domestic,
140,0.0026,Domestic,
140,0.002949,Domestic,
140,0.002981,Domestic,
140,0.003108,Domestic,
140,0.003234,Domestic,
140,0.00333,Domestic,
140,0.003456,Domestic,
140,0.003615,Domestic,
140,0.00371,Domestic,
140,0.003805,Domestic,
140,0.003837,Domestic,
140,0.0039,Domestic,
140,0.003995,Domestic,
140,0.004122,Domestic,
140,0.004186,Domestic,
140,0.004281,Domestic,
140,0.004313,Domestic,
140,0.004376,Domestic,
140,0.004756,Domestic,
140,0.004947,Domestic,
140,0.0052,Domestic,
140,0.0052,Domestic,
140,0.005232,Domestic,
140,0.005327,Domestic,
140,0.005518,Domestic,
140,0.005613,Domestic,
140,0.005739,Domestic,
140,0.00631,Domestic,
140,0.006405,Domestic,
140,0.006691,Domestic,
140,0.007008,Domestic,
